"site","plot","year","shannon","pH","row_shannon","species_richness","hills_number"
1093,496758,2014,2.40390400549595,"mv",2.13792410577775,33,8.48181199622397
1093,496760,2014,2.28892202910405,"4.6",1.95646320382668,35,7.07426254254083
1093,496761,2014,2.62577515267975,"mv",2.45344453378428,32,11.6283319967867
1093,496763,2014,1.93869278522707,"mv",1.66927487221971,33,5.3083171929966
1093,496764,2014,2.22403009944846,"3.9",1.81323186508484,42,6.13022752001026
1093,496767,2014,2.41115471318495,"mv",2.06082392277105,46,7.85243694735104
1093,496776,2014,1.81736176964298,"3.6",1.44696360607823,28,4.2501896525845
1174,536352,2014,1.52241318552789,"3.8",1.29733465508263,25,3.65952974828234
1174,536353,2014,1.77030902959382,"3.9",1.29043365352889,32,3.63436226809433
1174,536367,2014,1.44515113910516,"3.3",1.36608219841637,17,3.91996293506209
1174,700041,2014,1.50258366193674,"mv",1.22641269549111,24,3.4089785313288
1174,700077,2014,1.5442390618566,"mv",1.3189077117047,28,3.73933471421954
1174,700079,2014,1.24856899704675,"mv",1.06011893593984,20,2.88671430293005
1196,535311,2014,2.37729795359351,"mv",2.19477395811013,32,8.97797142980846
1196,535312,2014,2.51197948781552,"mv",2.33908295348592,29,10.3717208497727
1196,535314,2014,2.31469977059779,"mv",2.11175950018456,33,8.26276684180212
1196,535315,2014,2.44865621309814,"4.4",2.17656230587162,32,8.81594757546862
1196,535317,2014,2.43641564617493,"mv",2.26804114186334,29,9.66045879944687
1196,535320,2014,2.45193853217772,"mv",2.31829585463593,26,10.1583482451346
1196,535321,2014,2.53122718210136,"mv",2.33152778043198,34,10.2936559720483
1196,535323,2014,2.47842231116023,"mv",2.36218399031521,26,10.6141072646655
1196,535324,2014,2.72076527163149,"4.3",2.50846444069003,33,12.2860496103329
1196,535325,2014,2.11673877593401,"5.2",1.87830021999717,34,6.54237480767979
1197,559045,2014,2.09763773089601,"3.7",1.92131341629387,31,6.82992311315008
1197,559049,2014,1.97720919901474,"mv",1.44818798507955,41,4.25539668258535
1197,559050,2014,2.73831805388473,"4.9",2.56696919591746,46,13.0262844361484
1197,559052,2014,2.50712865047307,"mv",2.16684630908245,37,8.73070662808269
1197,559059,2014,2.20722286527482,"mv",1.8050417072067,41,6.08022503243439
1197,559060,2014,1.85202033099056,"mv",1.6727129531141,19,5.32659902612159
1197,559061,2014,1.9434986041446,"mv",1.66547920897244,26,5.28820679880868
1198,559065,2014,2.11714703585955,"4.2",1.42805576923257,34,4.17058272908155
1198,559067,2014,1.96472871374842,"mv",1.68181117048851,23,5.37528271348676
1198,559072,2014,2.55612509633078,"mv",2.34348579507253,32,10.4174865693307
1198,559074,2014,1.71853907410246,"mv",1.30067008595073,27,3.67175623573427
1198,559075,2014,1.68594031785793,"mv",1.31098144766892,23,3.70981291331127
1198,559077,2014,1.71565488966011,"mv",1.43093865284359,27,4.18262338123987
1198,559078,2014,1.52733890412053,"mv",1.14145045738041,20,3.13130690011832
1198,559079,2014,1.94229069528736,"4.1",1.5293734748434,32,4.61528432454892
1198,559080,2014,2.49985596687339,"mv",2.28033845059919,33,9.77998989288834
1198,559081,2014,1.57926390867506,"4.6",1.35464217559006,23,3.87537400508877
1199,536542,2014,1.59568078705052,"mv",1.29030697910118,30,3.63390191649194
1199,536546,2014,2.05699910037164,"mv",2.02926020347604,18,7.60845556723544
1199,536552,2014,2.0178148584431,"3.8",1.77991130218214,26,5.92933047659188
1199,536556,2014,1.79640018450021,"mv",1.64399605623818,22,5.17581107447686
1199,536561,2014,1.44823451270912,"4.",1.05032251967136,29,2.85857291540353
1199,536565,2014,1.75557912893032,"mv",1.58758589210335,24,4.89192502714456
1199,536569,2014,1.97254529226254,"mv",1.68919582065365,28,5.41512422261162
1199,536572,2014,1.86641255439891,"mv",1.57986256062385,25,4.85428859499145
1199,536576,2014,1.78179369024757,"mv",1.51543226834692,42,4.55138812269998
1199,536579,2014,1.7120489252959,"3.5",1.51025176220041,21,4.52787059749333
1200,536582,2014,2.6159235218762,"mv",2.51605986238323,35,12.3797226307767
1200,536583,2014,1.7684872788543,"3.7",1.33559594299142,25,3.8022612022856
1200,536584,2014,2.27147396818228,"mv",2.07740623317498,34,7.98373409064807
1200,536586,2014,1.84801983090882,"mv",1.4990476590927,33,4.4774230061987
1200,536588,2014,2.11271593737469,"4.8",1.87369331659028,30,6.51230403863733
1200,536590,2014,1.85778157885746,"mv",1.54483637023281,31,4.6872045980722
1200,536591,2014,2.1235730252363,"mv",1.75661426235547,38,5.79279128336606
1200,536594,2014,1.94315892086152,"mv",1.74361883197673,27,5.71799850232225
1200,536611,2014,2.17861499497321,"3.9",1.99121765583578,32,7.32444699020781
1200,536620,2014,2.37223587041301,"mv",2.12459345432191,41,8.36949421468031
1201,536628,2014,1.87881820892008,"3.9",1.68147329530352,29,5.37346684563119
1201,536630,2014,1.88928786229668,"mv",1.6299974761815,24,5.10386183729955
1201,536631,2014,1.69587928084891,"3.6",1.25786148979614,26,3.51789039307284
1201,536636,2014,2.1707157928329,"3.8",1.87706433591245,41,6.53429418516363
